id,conditions,item,slider_value,read_time,image_error
60fd32d015fdf,dap,9,4,[4374],False
60fd32d015fdf,farbe_scharf,149,3,[5207],False
60fd32d015fdf,grosse_unscharf,111,3,[5304],False
60fd32d015fdf,farbe_unscharf,85,3,[4395],False
60fd32d015fdf,farbe_unscharf,79,3,[4863],False
60fd32d015fdf,farbe_unscharf,76,4,[4356],False
60fd32d015fdf,grosse_unscharf,117,4,[3700],False
60fd32d015fdf,farbe_scharf,156,4,[3745],False
60fd32d015fdf,grosse_scharf,50,0,[31654],False
60fd32d015fdf,farbe_scharf,143,1,[6833],False
60fd32d015fdf,grosse_unscharf,108,1,[4831],False
61030ef13f615,grosse_scharf,30,2,"[1353, 20793]",False
61030ef13f615,dap,9,1,[6008],False
61030ef13f615,farbe_unscharf,94,88,[10301],False
61030ef13f615,dap,5,58,"[7073, 9087]",False
61030ef13f615,dap,2,97,"[5312, 8072]",False
61030ef13f615,dap,14,78,[6177],False
61030ef13f615,grosse_unscharf,129,11,[7723],False
61030ef13f615,grosse_unscharf,107,16,[4228],False
61030ef13f615,dap,18,70,[4614],False
61030ef13f615,grosse_unscharf,97,70,[1535],False
61030ef13f615,dap,22,17,[4309],False
61030ef13f615,farbe_unscharf,78,72,[3179],False
61030ef13f615,grosse_scharf,56,84,[10152],False
61030ef13f615,farbe_unscharf,62,2,[7028],False
61030ef13f615,grosse_unscharf,104,18,[9261],False
61030ef13f615,farbe_unscharf,65,-1,[9599],False
61030ef13f615,dap,8,91,[7358],False
61030ef13f615,grosse_unscharf,113,5,[9091],False
61030ef13f615,farbe_scharf,142,25,[4416],False
61030ef13f615,grosse_scharf,59,27,[1642],False
61030ef13f615,farbe_unscharf,91,79,[2371],False
61030ef13f615,dap,19,3,[4880],False
61030ef13f615,farbe_unscharf,88,14,[4466],False
61030ef13f615,dap,20,86,[6565],False
61030ef13f615,farbe_scharf,145,72,[3500],False
61030ef13f615,grosse_unscharf,126,89,[5963],False
61030ef13f615,grosse_unscharf,123,36,[3556],False
61030ef13f615,grosse_scharf,40,36,[1126],False
61030ef13f615,dap,24,88,[2830],False
61030ef13f615,dap,10,97,[3333],False
61030ef13f615,farbe_scharf,168,7,[3652],False
61030ef13f615,grosse_scharf,46,18,[2152],False
61030ef13f615,farbe_unscharf,75,-1,[2870],False
61030ef13f615,farbe_scharf,152,-1,[2914],False
61030ef13f615,dap,12,4,[5112],False
61030ef13f615,dap,16,92,[3195],False
61030ef13f615,grosse_scharf,49,8,[1694],False
61030ef13f615,farbe_scharf,158,11,[3777],False
61030ef13f615,grosse_scharf,43,11,[1897],False
61030ef13f615,dap,4,83,[2608],False
61030ef13f615,grosse_unscharf,120,17,[2829],False
61030ef13f615,dap,17,17,[1128],False
61030ef13f615,farbe_unscharf,81,-1,[3809],False
61030ef13f615,dap,7,12,[1948],False
61030ef13f615,dap,21,12,[1729],False
61030ef13f615,grosse_scharf,27,12,[2535],False
61030ef13f615,farbe_scharf,161,13,[1339],False
61030ef13f615,dap,23,-1,[5016],False
